"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-01",,"37","39","26"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-02",,"44","49","34"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-03",,"43","49",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-04",,"32","42",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-05",,"27","35","23"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-06",,"29","35",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-07",,"25","35",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-08",,"27","34","20"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-09",,"31","36","21"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-10",,"30","39",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-11",,"24","34",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-12",,"23","33","16"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-13",,"24","32","17"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-14","0.00","28","34","17"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-15",,"32","42","24"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-16",,"32","37","28"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-17",,"35","42",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-18","0.01","14","33",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-19",,"9","16","5"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-20",,"15","23","6"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-21",,"19","28",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-22",,"19","25","12"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-23",,"8","17",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-24",,"7",,"0"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-25",,"18","26","6"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-26","0.01","28","35","17"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-27",,"29","40",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-28",,"33","38","22"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-29",,"35","42",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-30",,"31","41",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-01-31",,"23","33",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-01",,"21","30","16"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-02",,"23","34","14"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-03",,"30","39","17"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-04",,"29","39",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-05",,"28","38","20"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-06",,"26","36",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-07",,"29","38","17"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-08",,"35","42","24"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-09",,"32","42","25"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-10",,"39","51","24"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-11",,"49","56","35"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-12","0.71","48",,"44"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-13","0.87","48","58",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-14","0.12","23","42",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-15","0.00","22","28","14"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-16","0.03","28","34","20"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-17",,"34","42","23"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-18",,"40","46","29"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-19",,"35","40",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-20",,"33","43",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-21",,"32","40","24"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-22",,"35","40","28"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-23","0.04","30","40",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-24",,"27","36","20"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-25",,"33","42","22"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-26",,"38","45","26"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-27","0.01","38","47","33"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-28","0.16","31","44",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-02-29","0.00","24","30",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-01",,"30","36","18"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-02",,"40","47","28"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-03",,"48","57","40"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-04",,"58","69","44"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-05","1.57","50","56",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-06","0.01","46","55","40"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-07","0.00","46","54",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-08",,"34","45",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-09",,"32","42",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-10",,"29","38",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-11",,"32","40","22"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-12",,"38","44","26"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-13","0.00","38","44",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-14",,"40","49",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-15",,"43","54","30"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-16",,"45","57",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-17",,"51","58","36"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-18",,"56","68",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-19",,"52","65",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-20",,"51","63","41"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-21",,"49","61",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-22",,"47","57","38"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-23",,"43",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-24",,"45","55","35"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-25",,"45","55","36"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-26",,"44","55","36"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-27",,"45","56","36"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-28",,"52","63","36"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-29",,"52","63",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-30",,"52",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-03-31",,"57","71","43"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-01",,"60",,"45"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-02",,"59","71","49"
